,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
0,Male,0,Yes,No,10,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),70.17184981692151,771.8903479861366
1,Male,1,Yes,Yes,66,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),115.5202073003382,7739.853889122659
2,Male,1,No,No,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,70.77689649105753,4742.052064900854
3,Female,0,No,No,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),63.11748340144922,2524.699336057969
4,Male,1,Yes,Yes,7,No,No phone service,DSL,No,No,No,No,No,No,One year,Yes,Mailed check,82.15775671292091,657.2620537033673
5,Male,1,No,No,15,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,50.46403448866354,807.4245518186167
6,Female,1,Yes,Yes,7,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),30.622918411872966,244.98334729498373
7,Female,0,No,Yes,59,No,No phone service,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,39.5811415722592,2374.868494335552
8,Male,0,No,No,45,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),91.10395853947013,4190.782092815626
9,Male,1,No,No,42,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,34.03695363096579,1463.589006131529
10,Female,0,Yes,No,4,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,104.56097097335213,522.8048548667606
11,Male,0,No,No,50,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),42.39709750854107,2162.2519729355945
12,Male,0,No,No,9,No,No phone service,DSL,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,59.27583679984628,592.7583679984629
13,Female,0,No,No,33,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),45.979466144657195,1563.3018489183446
14,Female,1,No,Yes,17,No,No phone service,DSL,No,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),21.72962259220863,391.1332066597554
15,Male,1,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,109.8813234062062,5603.947493716517
